#    L    TT             EE             BB             TE          
   374   0.193602E+04   0.202435E+02   0.331772E-01   0.487037E+02
   375   0.192074E+04   0.203190E+02   0.332730E-01   0.468752E+02
   376   0.190596E+04   0.203916E+02   0.333691E-01   0.450364E+02
   377   0.189163E+04   0.204599E+02   0.334654E-01   0.431904E+02
   378   0.187765E+04   0.205245E+02   0.335619E-01   0.413342E+02
   379   0.186412E+04   0.205863E+02   0.336587E-01   0.394722E+02
   380   0.185109E+04   0.206453E+02   0.337557E-01   0.376022E+02
   381   0.183843E+04   0.206976E+02   0.338531E-01   0.357271E+02
   382   0.182613E+04   0.207486E+02   0.339508E-01   0.338476E+02
   383   0.181434E+04   0.207953E+02   0.340488E-01   0.319622E+02
   384   0.180306E+04   0.208376E+02   0.341471E-01   0.300747E+02
   385   0.179208E+04   0.208778E+02   0.342458E-01   0.281835E+02
   386   0.178160E+04   0.209137E+02   0.343448E-01   0.262908E+02
   387   0.177149E+04   0.209452E+02   0.344442E-01   0.243965E+02
   388   0.176181E+04   0.209732E+02   0.345441E-01   0.225023E+02
   389   0.175257E+04   0.209954E+02   0.346443E-01   0.206080E+02
   390   0.174377E+04   0.210169E+02   0.347450E-01   0.187158E+02
   391   0.173541E+04   0.210334E+02   0.348461E-01   0.168242E+02
   392   0.172741E+04   0.210477E+02   0.349477E-01   0.149363E+02
   393   0.171992E+04   0.210570E+02   0.350497E-01   0.130511E+02
